name,bot #,year,month,day,hour,min,sec,reading count,trial length,amb temp,track motor temp,track drive temp,track current,track rpm,all prof track follow err,conveyer drive temp,conveyer current,conveyer rpm,u asc,u dsc,u ht,u hb,u tcu,u tcd,u bcu,u bcd,l asc,l dsc,l ht,l hb,l tcu,l tcd,l bcu,l bcd
iBot126_20190306_082604,126.0,2019.0,3.0,6.0,8.0,26.0,4.0,16899.0,24.62426667,238.0,624.0,450.0,1990.0,7766.0,0.0,6189.0,300.0,0.0,64.0,67.0,41.0,88.0,24.0,31.0,44.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190304_085515,126.0,2019.0,3.0,4.0,8.0,55.0,15.0,1448.0,9.966933333,271.0,655.0,450.0,1567.0,7722.0,0.0,6224.0,330.0,0.0,56.0,61.0,31.0,63.0,31.0,25.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190304_082902,126.0,2019.0,3.0,4.0,8.0,29.0,2.0,4213.0,26.0765,284.0,688.0,450.0,1678.0,7875.0,59.0,6242.0,350.0,0.0,57.0,63.0,46.0,70.0,27.0,27.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190301_145030,126.0,2019.0,3.0,1.0,14.0,50.0,30.0,5372.0,35.6524,271.0,515.0,370.0,1534.0,7877.0,0.0,6225.0,300.0,0.0,52.0,54.0,49.0,77.0,29.0,49.0,41.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190227_084944,126.0,2019.0,2.0,27.0,8.0,49.0,44.0,4063.0,8.560933333,235.0,546.0,400.0,1595.0,7870.0,0.0,6180.0,300.0,0.0,56.0,55.0,42.0,50.0,24.0,25.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190226_144340,126.0,2019.0,2.0,26.0,14.0,43.0,40.0,3752.0,6.6692,253.0,521.0,420.0,1532.0,7889.0,0.0,6205.0,320.0,0.0,51.0,46.0,36.0,74.0,28.0,23.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190306_093840,126.0,2019.0,3.0,6.0,9.0,38.0,40.0,10715.0,19.82965,234.0,660.0,450.0,1840.0,7875.0,0.0,6181.0,300.0,0.0,78.0,69.0,40.0,96.0,24.0,28.0,52.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot128_20190712_135005,128.0,2019.0,7.0,12.0,13.0,50.0,5.0,460.0,0.197416667,237.0,219.0,220.0,0.0,0.0,0.0,6182.0,220.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot126_20190227_084944,126.0,2019.0,2.0,27.0,8.0,49.0,44.0,4063.0,8.560933333,235.0,546.0,400.0,1595.0,7870.0,0.0,6180.0,300.0,0.0,56.0,55.0,42.0,50.0,24.0,25.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190523_063613,116.0,2019.0,5.0,23.0,6.0,36.0,13.0,586339.0,233.4310667,366.0,841.0,670.0,2075.0,6336.0,0.0,6324.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,263.0,23.0,34.0,47.0,17.0,20.0,224.0
iBot117_20190226_144341,117.0,2019.0,2.0,26.0,14.0,43.0,41.0,3630.0,6.670166667,252.0,513.0,450.0,1861.0,7724.0,0.0,6197.0,330.0,0.0,61.0,67.0,40.0,60.0,20.0,23.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iBot116_20190319_101638,116.0,2019.0,3.0,19.0,10.0,16.0,38.0,105971.0,-0.000433333,343.0,751.0,650.0,2033.0,6391.0,318.0,330.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,318.0,17.0,17.0,32.0,10.0,12.0,267.0
iBot126_20190306_093840,126.0,2019.0,3.0,6.0,9.0,38.0,40.0,10715.0,19.82965,234.0,660.0,450.0,1840.0,7875.0,96.0,300.0,0.0,0.0,78.0,69.0,40.0,96.0,24.0,28.0,52.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
